EndPt, 9999-01-01 ,1,10
EndPt, 9999-02-01 ,1,10
EndPt, 9999-03-01 ,1,10
EndPt, 9999-04-01 ,1,10
EndPt, 9999-05-01 ,1,10
EndPt, 9999-06-01 ,1,10
EndPt, 9999-07-01 ,1,10
EndPt, 9999-08-01 ,1,10
EndPt, 9999-09-01 ,1,10
Urb2, 9999-01-01 ,1,100
Urb2, 9999-02-01 ,1,100
Urb2, 9999-03-01 ,1,100
Urb2, 9999-04-01 ,1,100
Urb2, 9999-05-01 ,1,100
Urb2, 9999-06-01 ,1,100
Urb2, 9999-07-01 ,1,100
Urb2, 9999-08-01 ,1,100
Urb2, 9999-09-01 ,1,100
Urb1, 9999-01-01 ,1,90
Urb1, 9999-02-01 ,1,90
Urb1, 9999-03-01 ,1,90
Urb1, 9999-04-01 ,1,90
Urb1, 9999-05-01 ,1,90
Urb1, 9999-06-01 ,1,90
Urb1, 9999-07-01 ,1,90
Urb1, 9999-08-01 ,1,90
Urb1, 9999-09-01 ,1,90
Ag2, 9999-01-01 ,1,30
Ag2, 9999-02-01 ,1,30
Ag2, 9999-03-01 ,1,30
Ag2, 9999-04-01 ,1,30
Ag2, 9999-05-01 ,1,30
Ag2, 9999-06-01 ,1,30
Ag2, 9999-07-01 ,1,30
Ag2, 9999-08-01 ,1,30
Ag2, 9999-09-01 ,1,30
Ag1, 9999-01-01 ,1,50
Ag1, 9999-02-01 ,1,50
Ag1, 9999-03-01 ,1,50
Ag1, 9999-04-01 ,1,50
Ag1, 9999-05-01 ,1,50
Ag1, 9999-06-01 ,1,50
Ag1, 9999-07-01 ,1,50
Ag1, 9999-08-01 ,1,50
Ag1, 9999-09-01 ,1,50
