EndPt, 2020-01-01 ,1,10
EndPt, 2020-02-01 ,1,10
EndPt, 2020-03-01 ,1,10
EndPt, 2020-04-01 ,1,10
EndPt, 2020-05-01 ,1,10
EndPt, 2020-06-01 ,1,10
EndPt, 2020-07-01 ,1,10
EndPt, 2020-08-01 ,1,10
EndPt, 2020-09-01 ,1,10
Urb2, 2020-01-01 ,1,100
Urb2, 2020-02-01 ,1,100
Urb2, 2020-03-01 ,1,100
Urb2, 2020-04-01 ,1,100
Urb2, 2020-05-01 ,1,100
Urb2, 2020-06-01 ,1,100
Urb2, 2020-07-01 ,1,100
Urb2, 2020-08-01 ,1,100
Urb2, 2020-09-01 ,1,100
Urb1, 2020-01-01 ,1,90
Urb1, 2020-02-01 ,1,90
Urb1, 2020-03-01 ,1,90
Urb1, 2020-04-01 ,1,90
Urb1, 2020-05-01 ,1,90
Urb1, 2020-06-01 ,1,90
Urb1, 2020-07-01 ,1,90
Urb1, 2020-08-01 ,1,90
Urb1, 2020-09-01 ,1,90
Ag2, 2020-01-01 ,1,30
Ag2, 2020-02-01 ,1,30
Ag2, 2020-03-01 ,1,30
Ag2, 2020-04-01 ,1,30
Ag2, 2020-05-01 ,1,30
Ag2, 2020-06-01 ,1,30
Ag2, 2020-07-01 ,1,30
Ag2, 2020-08-01 ,1,30
Ag2, 2020-09-01 ,1,30
Ag1, 2020-01-01 ,1,50
Ag1, 2020-02-01 ,1,50
Ag1, 2020-03-01 ,1,50
Ag1, 2020-04-01 ,1,50
Ag1, 2020-05-01 ,1,50
Ag1, 2020-06-01 ,1,50
Ag1, 2020-07-01 ,1,50
Ag1, 2020-08-01 ,1,50
Ag1, 2020-09-01 ,1,50
