SR1, XXXX-01-01 ,1,100
SR1, XXXX-02-01 ,1,120
SR1, XXXX-03-01 ,1,120
SR1, XXXX-04-01 ,1,130
SR1, XXXX-05-01 ,1,110
SR1, XXXX-06-01 ,1,110
SR1, XXXX-07-01 ,1,100
SR1, XXXX-08-01 ,1,120
SR1, XXXX-09-01 ,1,120
SR3, XXXX-01-01 ,1,40
SR3, XXXX-02-01 ,1,30
SR3, XXXX-03-01 ,1,30
SR3, XXXX-04-01 ,1,30
SR3, XXXX-05-01 ,1,40
SR3, XXXX-06-01 ,1,50
SR3, XXXX-07-01 ,1,40
SR3, XXXX-08-01 ,1,40
SR3, XXXX-09-01 ,1,50
Desal1, XXXX-01-01 ,1,1000
Desal1, XXXX-02-01 ,1,1000
Desal1, XXXX-03-01 ,1,1000
Desal1, XXXX-04-01 ,1,1000
Desal1, XXXX-05-01 ,1,1000
Desal1, XXXX-06-01 ,1,1000
Desal1, XXXX-07-01 ,1,1000
Desal1, XXXX-08-01 ,1,1000
Desal1, XXXX-09-01 ,1,1000
