EndPt, XXXX-01-01 ,1,15
EndPt, XXXX-02-01 ,1,160
EndPt, XXXX-03-01 ,1,14
EndPt, XXXX-04-01 ,1,15
EndPt, XXXX-05-01 ,1,15
EndPt, XXXX-06-01 ,1,15
EndPt, XXXX-07-01 ,1,14
EndPt, XXXX-08-01 ,1,15
EndPt, XXXX-09-01 ,1,160
Urb2, XXXX-01-01 ,1,90
Urb2, XXXX-02-01 ,1,600
Urb2, XXXX-03-01 ,1,60
Urb2, XXXX-04-01 ,1,62
Urb2, XXXX-05-01 ,1,62
Urb2, XXXX-06-01 ,1,65
Urb2, XXXX-07-01 ,1,69
Urb2, XXXX-08-01 ,1,69
Urb2, XXXX-09-01 ,1,640
Urb1, XXXX-01-01 ,1,75
Urb1, XXXX-02-01 ,1,430
Urb1, XXXX-03-01 ,1,44
Urb1, XXXX-04-01 ,1,44
Urb1, XXXX-05-01 ,1,46
Urb1, XXXX-06-01 ,1,49
Urb1, XXXX-07-01 ,1,50
Urb1, XXXX-08-01 ,1,50
Urb1, XXXX-09-01 ,1,470
Ag2, XXXX-01-01 ,1,60
Ag2, XXXX-02-01 ,1,210
Ag2, XXXX-03-01 ,1,21
Ag2, XXXX-04-01 ,1,21
Ag2, XXXX-05-01 ,1,22
Ag2, XXXX-06-01 ,1,22
Ag2, XXXX-07-01 ,1,22
Ag2, XXXX-08-01 ,1,22
Ag2, XXXX-09-01 ,1,210
Ag1, XXXX-01-01 ,1,55
Ag1, XXXX-02-01 ,1,270
Ag1, XXXX-03-01 ,1,27
Ag1, XXXX-04-01 ,1,27
Ag1, XXXX-05-01 ,1,27
Ag1, XXXX-06-01 ,1,29
Ag1, XXXX-07-01 ,1,29
Ag1, XXXX-08-01 ,1,29
Ag1, XXXX-09-01 ,1,280
